probIn scale
0.04700753 0.02449826
0.03069039 0.02560573
0.04832158 0.02563958
0.04258581 0.02554467
0.05346499 0.02549815
0.05080604 0.02383117
0.0523653 0.02127086
0.03612839 0.01775331
0.03889462 0.01704899
0.03767855 0.01823763
0.04505568 0.01710475
0.04674919 0.01591788
0.05326163 0.01408389
0.07073769 0.01599593
0.07632868 0.01347147
0.06325335 0.01312124
0.0691669 0.01374635
0.05468349 0.01382694
0.04932726 0.01349512
0.08169698 0.01206859
0.07313775 0.01305447
0.06101168 0.01291624
0.02552072 0.01307117
0.04935028 0.01220666
0.0492503 0.01224457
0.05290816 0.01321195
0.05746315 0.01281959
0.06472224 0.01299624
0.06609691 0.01275688
0.06212153 0.01240063
0.06049109 0.01320228
0.06787502 0.01298017
0.04480097 0.0136991
0.04591944 0.01516997
0.0421951 0.01560791
0.05775579 0.01630065
0.06954264 0.0177559
0.02858878 0.01788828
0.05164786 0.02009918
0.05261692 0.02065524
0.05757244 0.02052051
0.05815337 0.02024341
0.04503918 0.01954243
0.06209666 0.01901527
0.04213004 0.01923812
0.04353915 0.01968284
0.02502931 0.0190228
0.03603871 0.01913063
0.03180565 0.01676699
0.04946062 0.01478936
0.08078633 0.01369289
0.06468822 0.013809
0.04917256 0.01406167
0.05176156 0.01525477
0.05729458 0.01371353
0.05257797 0.01464927
0.06785487 0.01656637
0.05188571 0.01544267
0.05724783 0.01508226
0.04293232 0.01521936
0.06645561 0.01687754
0.0410004 0.01706152
0.06195225 0.01825347
0.04473487 0.01964484
0.04106842 0.02057528
0.03460871 0.0217943
0.05090775 0.0220376
0.03552336 0.02132015
0.05410184 0.01926162
0.04588183 0.01965752
0.04608562 0.01815972
0.04240676 0.01987625
0.04362847 0.02051275
0.04413744 0.02108914
0.03977925 0.02294967
0.04393217 0.02411678
0.02984693 0.02707548
0.03092113 0.02917512
0.03191707 0.03169525
0.0505751 0.03008771
0.0331328 0.02689748
0.04401592 0.02840462
0.01911147 0.02633901
0.02614943 0.02743249
0.03597294 0.03308129
0.03197359 0.03127255
0.01735858 0.03056487
0.02553428 0.03419632
0.04661155 0.03940518
0.03373969 0.04372656
0.04406798 0.04842113
0.0464959 0.04835693
0.02967226 0.05079099
0.04376389 0.05831
0.02865862 0.05534433
0.03194617 0.05726001
0.03198023 0.05171586
0.02511251 0.05097151
0.04431559 0.05286591
0.0203308 0.05308595
0.02322066 0.05417003
0.0180511 0.05231148
0.03223332 0.04941538
0.02820078 0.05252318
0.03554987 0.05997557
0.02255043 0.04960331
0.02938855 0.04754925
0.04083485 0.04977012
0.03197031 0.05347397
0.0314756 0.05060502
0.02581908 0.05629269
0.04124514 0.05439517
0.03303423 0.05941357
0.03090213 0.05641263
0.03324647 0.05099255
0.03629451 0.05858152
0.03757125 0.05849973
0.02749915 0.05795426
0.02976752 0.06348408
0.03311894 0.05635637
0.01547636 0.05819149
0.02960933 0.05493625
0.02011039 0.05377481
0.0217417 0.06133048
0.02233802 0.05986108
0.03807414 0.05669238
0.05219241 0.04828075
0.03169052 0.05057821
0.03164636 0.04849639
0.03337131 0.05020466
0.02895796 0.05497623
0.02977824 0.0507264
0.03588824 0.0565101
0.01509017 0.05304223
0.02756056 0.05021939
0.0192875 0.04887934
0.02537828 0.05513825
0.02474936 0.05738689
0.02401609 0.06179285
0.03366108 0.05856491
0.03171962 0.06082517
0.02170842 0.0599782
0.02325146 0.05969097
0.03845559 0.05692705
0.02400146 0.05083466
0.03099474 0.05386472
0.0225353 0.05721411
0.02933799 0.06456793
0.02651993 0.07517413
0.02846567 0.07888566
0.02151261 0.08268999
0.02561304 0.07430056
0.02697278 0.07217509
0.02117315 0.06872577
0.03440084 0.06639501
0.02991649 0.07018537
0.03014712 0.06706814
0.025212 0.06450783
0.01562226 0.06813645
0.03005113 0.07371551
0.02829662 0.06808871
0.02879328 0.07146513
0.02792384 0.07801782
0.02639736 0.07114244
0.03100064 0.06674847
0.03049713 0.07197153
0.03129512 0.0687213
0.01647703 0.06560521
0.02802396 0.07204574
0.02130859 0.07622373
0.01684384 0.088491
0.02710461 0.09601173
0.02081434 0.09152009
0.02651926 0.08836558
0.03327607 0.09130315
0.02715311 0.09367834
0.01764944 0.08568649
0.02014732 0.09270514
0.01766801 0.1042725
0.02617213 0.09450652
0.01333275 0.101586
0.01897499 0.1031345
0.01128176 0.1142903
0.01221652 0.1160582
0.02343939 0.1034001
0.01616917 0.1013948
0.03539295 0.1074733
0.01887188 0.1137337
0.01996794 0.1092188
0.01115689 0.1272618
0.01919173 0.1209299
0.01307883 0.1286959
0.01385452 0.1226182
0.02253427 0.1388803
0.01100946 0.133294
0.02682065 0.13102
0.02147317 0.1227806
0.02498452 0.1053728
0.03133171 0.1067618
0.03073328 0.1049558
0.0196298 0.1093061
0.0268322 0.1082238
0.02406457 0.09370234
0.0149813 0.1075836
0.01764629 0.10269
0.01698684 0.09322263
0.02571019 0.1121915
0.02016082 0.1141063
0.02773954 0.1101144
0.01993133 0.1101705
0.02322091 0.1167333
0.01616076 0.1188654
0.02476469 0.1247887
0.02179467 0.1309195
0.02729219 0.1313005
0.02094555 0.1243742
0.01974471 0.1334613
0.01728351 0.1301949
0.01973571 0.1085218
0.01241361 0.1232834
0.02709056 0.1095984
0.02096157 0.09742075
0.03620103 0.1013509
0.01742075 0.09218142
0.02795087 0.09681044
0.03533297 0.09198883
0.04479923 0.0863645
0.0273994 0.09606407
0.01602618 0.09425614
0.01320702 0.1013743
0.01773266 0.102323
0.02749525 0.09745331
0.03695025 0.1067701
0.02357748 0.1066488
