target_lines,plate_id
U22-914083,D-6_Mips22.Master21_D-6_Mips22.Master21
U22-914086,A-7_Mips22.Master7_A-7_Mips22.Master7
U22-914087,F-6_Mips22.Master9_F-6_Mips22.Master9
U22-914088,D-1_Mips22.Master22_D-1_Mips22.Master22
U22-914089,C-1_Mips22.Master38_C-1_Mips22.Master38
U22-914090,G-8_Mips22.Master10_G-8_Mips22.Master10
U22-914091,H-11_Mips22.Master20_H-11_Mips22.Master20
U22-914092,D-1_Mips22.Master8_D-1_Mips22.Master8
U22-915002,C-11_Mips22.Master21_C-11_Mips22.Master21
U22-915006,F-5_Mips22.Master10_F-5_Mips22.Master10
U22-915007,D-3_Mips22.Master38_D-3_Mips22.Master38
U22-915008,A-6_Mips22.Master10_A-6_Mips22.Master10
U22-915009,B-3_Mips22.Master22_B-3_Mips22.Master22
U22-915010,F-10_Mips22.Master9_F-10_Mips22.Master9
U22-915011,C-7_Mips22.Master10_C-7_Mips22.Master10
U22-915013,F-11_Mips22.Master2_F-11_Mips22.Master2
U22-915015,G-10_Mips22.Master8_G-10_Mips22.Master8
U22-915016,C-9_Mips22.Master8_C-9_Mips22.Master8
U22-915017,H-7_Mips22.Master6_H-7_Mips22.Master6
U22-915019,C-1_Mips22.Master23_C-1_Mips22.Master23
U22-915020,G-7_Mips22.Master38_G-7_Mips22.Master38
U22-915021,H-5_Mips22.Master11_H-5_Mips22.Master11
U22-915023,F-10_Mips22.Master38_F-10_Mips22.Master38
U22-915024,A-11_Mips22.Master8_A-11_Mips22.Master8
U22-915025,B-11_Mips22.Master22_B-11_Mips22.Master22
U22-915026,H-12_Mips22.Master7_H-12_Mips22.Master7
U22-915028,F-7_Mips22.Master38_F-7_Mips22.Master38
U22-915030,A-11_Mips22.Master19_A-11_Mips22.Master19
U22-915032,D-4_Mips22.Master17_D-4_Mips22.Master17
U22-915033,G-12_Mips22.Master8_G-12_Mips22.Master8
U22-915034,C-12_Mips22.Master9_C-12_Mips22.Master9
U22-915035,H-9_Mips22.Master9_H-9_Mips22.Master9
U22-915036,B-8_Mips22.Master17_B-8_Mips22.Master17
U22-915037,E-12_Mips22.Master21_E-12_Mips22.Master21
U22-915038,C-5_Mips22.Master8_C-5_Mips22.Master8
U22-915039,B-9_Mips22.Master38_B-9_Mips22.Master38
U22-915040,B-2_Mips22.Master7_B-2_Mips22.Master7
U22-915041,B-5_Mips22.Master20_B-5_Mips22.Master20
U22-915042,C-8_Mips22.Master38_C-8_Mips22.Master38
U22-915043,E-6_Mips22.Master21_E-6_Mips22.Master21
U22-915046,A-1_Mips22.Master16_A-1_Mips22.Master16
U22-915047,D-8_Mips22.Master22_D-8_Mips22.Master22
U22-915049,C-11_Mips22.Master18_C-11_Mips22.Master18
U22-915051,G-12_Mips22.Master6_G-12_Mips22.Master6
U22-915053,G-2_Mips22.Master19_G-2_Mips22.Master19
